,smiles,GSK3B,JNK3,DRD2,SA,QED,CalcExactMolWt,CalcNumAromaticRings,CalcNumHBA,CalcNumHBD,CalcNumRotatableBonds,CalcFractionCSP3,CalcTPSA,CalcHallKierAlpha,CalcKappa1,CalcKappa2,CalcKappa3,CalcPhi,logP,3pbl_docking,1iep_docking,2rgp_docking,3eml_docking,3ny8_docking,4rlu_docking,4unn_docking,5mo4_docking,7l11_docking
0,CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1,0.03,0.01,0.0004917081965318,2.084094572072681,0.7319008436872338,325.1478071,3.0,2.0,1.0,3.0,0.25,42.24,-2.6199999999999988,16.245274217543162,6.114994460530442,3.3240702312630024,4.139156743753102,3.1399057164163766,-8.4,-8.3,-9.2,-9.1,-9.6,-9.5,-8.1,-9.3,-6.4
1,C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1,0.16,0.01,0.0160646704832029,3.4320038192747795,0.9411116113894996,285.195345736,2.0,5.0,1.0,3.0,0.5625,55.63,-1.91,14.045263866097136,5.83550327084549,3.22796420176585,3.9029134871665625,0.172386356591488,-8.1,-7.8,-8.0,-8.3,-8.2,-8.7,-7.8,-7.3,-6.4
2,N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1,0.03,0.03,0.0128573558238021,2.4706326078252,0.626104542084784,382.168127944,3.0,3.0,0.0,5.0,0.2,53.33,-3.579999999999999,18.76803126521302,8.61958191339105,4.301392848937961,5.578364925640962,2.6184228720536984,-9.4,-7.9,-8.1,-9.4,-9.3,-10.4,-8.4,-9.2,-6.9
3,CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1,0.0,0.0,0.0020107098965866,2.822753311170967,0.716224500059291,409.2365418520001,2.0,5.0,0.0,4.0,0.5416666666666666,64.43,-2.6299999999999994,20.63504751138115,9.02344176679434,4.134178022178896,6.206638319132741,-1.9748466169185404,-7.4,-5.6,-8.4,-7.9,-5.0,-9.6,-8.1,-8.0,-6.7
4,N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])[C@H](C#N)C12CCCCC2,0.0,0.02,0.0008411280958607,4.035182138302743,0.8095718119534945,413.08444807591,1.0,6.0,1.0,4.0,0.4,112.1,-2.4799999999999995,20.25931432531098,8.684828140110472,4.012937496534822,6.283880826850144,-0.205555119646041,-9.1,-9.1,-8.5,-9.0,-9.2,-5.6,-7.5,-7.7,-7.2
5,CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br,0.02,0.04,0.0140854754315142,5.091437549913934,0.8271497220047329,320.06782387609,1.0,2.0,2.0,6.0,0.6923076923076923,24.67,0.0999999999999999,15.158479532163744,6.32041631514609,2.9215149551391466,5.6357589028174,-2.15055920281614,-5.2,-5.4,-4.8,-5.3,-5.4,-5.3,-5.0,-4.0,-4.0
6,COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O,0.0,0.0,0.0001911480624085,2.8523163989668188,0.3227319993935653,281.137556088,1.0,5.0,3.0,5.0,0.3846153846153846,108.38,-2.44,15.616947608200457,6.646955829770077,3.532040240124996,5.190258047377094,-0.6073344037811803,-7.1,-7.4,-7.1,-7.1,-7.1,-7.3,-6.1,-7.0,-6.6
7,O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1,0.27,0.12,0.001391132808319,2.627857491802141,0.6867867336169149,298.097837192,3.0,5.0,3.0,4.0,0.0,95.59,-3.289999999999999,13.68203547366416,5.999362111003015,3.0602721567535047,3.731067510095453,0.5940321896618876,-8.7,-9.2,-9.2,-9.3,-9.2,-10.0,-9.1,-9.2,-8.1
8,Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N,0.25,0.05,0.0014368260687893,3.073935310669482,0.5036973395225374,405.0225221040001,4.0,6.0,1.0,2.0,0.0526315789473684,86.57,-3.24,16.240459858801746,6.242320351963502,2.5160337134062494,3.8991597346863247,1.4160137655860436,-7.4,-8.2,-9.3,-9.1,-8.0,-8.9,-8.4,-8.4,-6.4
9,C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+],0.0,0.02,0.0022464829763466,3.947933469646377,0.8223798445329893,300.07060074809004,1.0,2.0,1.0,1.0,0.5833333333333334,52.88,-0.81,12.64185029514772,4.820213001277628,2.5503830394652143,3.584494773698615,-2.00383888453492,-6.5,-6.7,-6.0,-6.4,-6.1,-6.4,-5.6,-5.6,-5.1
10,CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1,0.12,0.06,0.0679821789644332,3.1732023342288134,0.5421263113281531,497.19262635199993,2.0,6.0,1.0,6.0,0.3333333333333333,88.57999999999998,-3.9299999999999993,25.17154858314655,9.974931780712492,4.391335909172515,6.974568886993805,2.3610308547741328,-5.0,-3.8,-4.3,-6.8,-1.8,-4.9,-6.1,-4.6,-6.0
11,Cc1ccc2nc(S[C@H](C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1,0.01,0.0,0.0008840087153017,2.692305637306097,0.6588013717387127,373.182398104,2.0,5.0,1.0,4.0,0.55,63.99,-1.82,18.9558767094587,7.822843951934552,4.1137358792368905,5.703417902700232,1.2715759012884045,-7.9,-8.7,-8.4,-8.6,-8.6,-8.0,-7.4,-7.9,-5.8
12,O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1,0.01,0.02,0.0887873399552132,2.7331997723158103,0.8726164758190363,329.12273522400005,2.0,2.0,1.0,1.0,0.3157894736842105,40.540000000000006,-2.27,15.26898251541231,5.379705212535171,2.3107435194462767,3.4226093678446663,0.4988143672671148,-9.9,-8.5,-10.2,-9.9,-11.5,-10.1,-10.1,-9.9,-7.9
13,Cc1ccccc1C(=O)N1CCC2(CC1)C[C@H](c1ccccc1)C(=O)N2C,0.0,0.0,0.0025465024037184,3.3503522834969197,0.8187136531953374,362.199428072,2.0,2.0,0.0,2.0,0.391304347826087,40.620000000000005,-2.62,17.776891729152403,6.838859768158042,3.030955233948283,4.502728505533401,0.6203506775426672,-8.7,-5.1,-10.0,-9.1,-8.3,-7.2,-8.7,-6.7,-7.2
14,CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1,0.0,0.0,0.0012987404754006,3.0775671757676357,0.7819128540578172,361.211389724,1.0,5.0,2.0,5.0,0.6666666666666666,96.33,-2.38,18.4122491759402,7.088909645858238,3.4498245711478144,5.020106568664148,-0.3100600013755512,-8.7,-8.4,-8.6,-8.1,-8.4,-8.1,-6.9,-7.9,-6.7
15,CC(C)Cc1nc(SCC(=O)NC[C@@H]2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1,0.0,0.0,0.0020707536828412,3.1125333770559696,0.5154656255830778,421.1783753440001,2.0,9.0,1.0,7.0,0.631578947368421,108.11,-2.2,21.50746527777778,9.081770105995744,4.866452661303214,6.73537431777461,-1.1878042000436797,-7.6,-7.3,-8.8,-8.0,-5.7,-7.8,-7.5,-7.9,-6.2
16,Cc1ccc(CNC(=O)c2ccccc2NC(=O)[C@@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1,0.01,0.02,0.002542243095327,2.429037406006511,0.6010761706348721,441.205241724,3.0,3.0,2.0,6.0,0.2222222222222222,78.51,-3.9299999999999993,22.27060100055917,9.69131031057626,5.286998790795346,6.540342578771186,2.150493247789452,-7.4,-8.6,-9.8,-8.9,-8.3,-9.8,-9.6,-8.7,-8.0
17,CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1,0.0,0.0,9.2860176272833e-05,2.037915156931195,0.7973995931269556,349.146012596,1.0,4.0,2.0,5.0,0.4705882352941176,70.67,-1.99,18.3501200581498,9.340889592395117,5.2792612270021175,7.141935227932181,1.1815381736538422,-7.8,-7.8,-8.2,-7.9,-7.9,-8.1,-7.5,-7.8,-6.5
18,Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C,0.01,0.0,0.0006885652799004,2.62217770660925,0.3360925099463334,481.1242315960001,4.0,8.0,2.0,5.0,0.3043478260869565,101.78,-3.1099999999999994,21.720902244699992,8.677201219742697,3.931816544892246,5.711413316715839,1.3380018153614834,-10.1,-9.7,-7.9,-8.8,-5.2,-8.9,-8.7,-7.8,-7.5
19,CC(C)[C@@H](Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1,0.01,0.01,0.0018320513190692,2.940469366684301,0.8132683091617726,361.155704688,2.0,4.0,0.0,5.0,0.4736842105263157,47.36,-2.01,17.80151308062241,7.913383654056714,4.341290333911847,5.634808105186966,1.2430881101755524,-7.4,-6.9,-8.1,-8.3,-8.2,-7.5,-7.2,-8.1,-6.2
20,CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)c1cccc(F)c1F,0.0,0.0,0.0058808475606693,3.878253819274778,0.8234591767047496,299.19294628009004,1.0,1.0,1.0,7.0,0.5625,36.92,-1.4900000000000004,17.561255766273703,8.075310969960588,4.7738264486870605,6.75298101598446,-0.9747795542813922,-7.2,-7.2,-7.0,-7.1,-7.1,-6.9,-6.3,-6.2,-5.3
21,Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2,0.18,0.07,0.0088870676233245,2.5456861771412957,0.7136614723335228,393.162331356,3.0,6.0,1.0,5.0,0.3333333333333333,71.01,-2.8,18.55808057944771,8.060077720848492,4.196168582375479,5.342127565004199,1.721908555599696,-8.5,-8.1,-9.7,-9.5,-8.6,-10.1,-8.6,-9.5,-7.1
22,O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)c1cccnc1,0.03,0.05,0.0067288936559638,3.194352210622414,0.6518361323758888,314.174275944,1.0,3.0,2.0,4.0,0.4705882352941176,74.33000000000001,-2.37,15.522823494010838,7.261929289043697,3.884872585292328,4.901115068687518,-0.7240276954501736,-9.0,-9.2,-9.1,-8.5,-9.2,-9.7,-8.3,-8.8,-7.3
23,O=c1n(CCO)c2ccccc2n1CCO,0.0,0.0,0.004733401221112,2.1086346291944853,0.7516963231879693,222.100442308,2.0,5.0,2.0,4.0,0.3636363636363636,67.39,-1.59,10.912299045640236,4.505458629925166,1.6375976164723658,3.0728069942189973,-0.5588590709415964,-6.4,-6.5,-6.1,-6.2,-7.2,-6.7,-6.3,-5.3,-5.2
24,COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1,0.0,0.04,0.0001592686002003,2.30881719313029,0.7193882945960446,344.083077992,3.0,6.0,1.0,5.0,0.2352941176470588,81.42999999999999,-2.67,16.197057917220064,6.838021459211626,3.62460134279562,4.614826233918516,1.5064654588762738,-8.4,-8.4,-9.1,-7.9,-9.0,-8.8,-7.5,-7.9,-6.4
25,Cc1ccc(N2CC[C@@H](NS(=O)(=O)c3ccccc3C)C2=O)cc1C,0.0,0.0,0.0008420175635066,2.595621196728107,0.9137419381542724,358.135113564,2.0,3.0,1.0,4.0,0.3157894736842105,66.48,-2.18,17.636872619037568,6.612613624446675,3.4534613520758226,4.6650329669311335,0.8843655986696268,-9.4,-8.6,-9.7,-8.9,-9.1,-9.1,-8.6,-8.5,-6.8
26,CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1,0.0,0.0,0.004311450995945,2.906806565223036,0.744231183687065,324.252526264,0.0,3.0,2.0,7.0,0.8823529411764706,64.68,-1.3,18.0446602883813,8.523658606457362,6.373731387966785,6.687240172506986,-0.3805145905965033,-7.2,-6.8,-6.8,-6.6,-7.2,-7.7,-6.0,-7.1,-5.5
27,CC(=O)Nc1c2n(c3ccccc13)C[C@](C)(C(=O)NC1CCCCC1)N(C1CCCCC1)C2=O,0.02,0.0,0.0097429898247015,3.1983612450235803,0.6938903397751818,464.278741012,2.0,4.0,2.0,4.0,0.5925925925925926,83.44,-2.83,22.93732066006381,9.080606321666384,3.886987308371333,6.1260229114077775,1.4860032024689156,-5.9,-5.6,-7.3,-8.6,-1.8,-6.6,-8.4,-8.8,-7.4
28,N#Cc1ccncc1NC[C@@H]1C[C@@]12CCc1ccccc12,0.12,0.05,0.1674077011017222,3.9186021755539393,0.9349017245983078,275.14224754400004,2.0,3.0,1.0,3.0,0.3333333333333333,48.71,-2.3399999999999994,12.404410596399147,4.595241417353129,1.9066287553341976,2.7143457776393998,-0.3029312247828059,-8.4,-8.1,-9.4,-9.4,-8.1,-9.0,-7.9,-7.8,-6.8
29,Cc1cccn2c(=O)c(C(=O)NC[C@H]3CCO[C@@H]3C(C)C)cnc12,0.03,0.01,0.0011350052067604,3.449086114198873,0.928116407710322,329.1739415960001,2.0,5.0,1.0,4.0,0.5,72.7,-2.21,16.64091969614327,6.727244623243918,3.059322729642892,4.664480731321401,-0.768318028387672,-8.3,-8.0,-8.6,-8.1,-8.3,-9.2,-7.5,-8.3,-6.3
30,CNC(=O)c1ccc(/C=C/C(=O)Nc2c(C)cc(C)nc2Cl)cc1,0.0,0.04,0.0003624343251034,2.23947196482918,0.6601699658013098,343.108754496,2.0,3.0,2.0,4.0,0.1666666666666666,71.09,-2.6599999999999997,17.6900872412917,7.7457933063434625,4.425383531312102,5.709323305926215,1.7771499936870625,-8.8,-8.1,-7.7,-8.4,-8.9,-9.0,-7.6,-7.4,-6.2
31,CC1=C(CNC(=O)c2cc(-c3ccccc3)nc3c2CNN3C(C)C)CN=N1,0.12,0.01,0.0014988814193344,3.350933313893432,0.8373244523964933,376.20115938800006,2.0,6.0,2.0,5.0,0.3333333333333333,81.98,-3.06,18.31015150063358,7.516493678477616,3.4058987597047854,4.915290643088562,0.5049515123638144,-7.2,-8.0,-8.7,-10.5,-7.9,-9.7,-8.9,-8.2,-7.3
32,C[C@@H](NC(=O)COC(=O)/C=C/c1ccc(Cl)cc1)c1ccccc1,0.0,0.0,5.235806244082109e-05,2.2578478658596026,0.6412616210675414,343.097521116,2.0,3.0,1.0,6.0,0.1578947368421052,55.4,-2.5899999999999985,17.759018663777027,8.890046375036839,5.893593272736996,6.578270812338438,2.041273441383168,-8.9,-9.4,-7.9,-8.8,-8.8,-9.3,-7.9,-8.1,-6.5
33,CCc1ccc(N(Cc2ccc(C)s2)C(=O)c2ccc(=O)n(C)n2)cc1,0.0,0.03,0.0002540115613725,2.398371955217087,0.6927908715521539,367.1354479120001,3.0,5.0,0.0,5.0,0.25,55.2,-2.73,18.07283707623672,7.658788661821558,3.911143789605053,5.323693834093462,1.7233577831088405,-7.1,-4.2,-7.5,-8.0,-6.3,-7.5,-7.3,-7.8,-6.3
34,CCOC(=O)c1nnc2ccccc2c1N1CC[C@@H]([NH+](CC)CC)C1,0.02,0.01,0.0011667575749542,3.8898396808771496,0.8016421490425746,343.21285252409,2.0,5.0,1.0,6.0,0.5263157894736842,59.76,-2.2099999999999995,17.607825767101172,7.781393026165037,3.442425626474333,5.4805365052020045,-1.6344887367945184,-6.9,-5.3,-7.5,-8.0,-8.2,-7.3,-7.0,-6.4,-5.8
35,Cc1ccc(C#N)cc1S(=O)(=O)NCc1ccnc(OC(C)(C)C)c1,0.03,0.03,0.0003246548582191,2.458668204502434,0.8859809278614853,359.130362532,2.0,5.0,1.0,5.0,0.3333333333333333,92.08,-2.43,18.90221437187165,7.213582417639742,5.27593815280758,5.454107249895624,1.2033373970940435,-7.9,-7.8,-8.0,-7.8,-8.0,-7.8,-7.1,-7.0,-6.1
36,O=C(O[C@H]1CCOC1)C1(c2ccc(Cl)c(Cl)c2)CCC1,0.03,0.0,0.0015245885636567,2.9338674926844224,0.7970806332317928,314.047649732,1.0,3.0,0.0,3.0,0.5333333333333333,35.53,-0.7700000000000001,14.179229542797644,5.548981221308567,2.4285768230000664,3.93401392328039,1.2116869295691275,-7.9,-7.6,-7.0,-8.5,-9.1,-7.8,-8.0,-7.5,-6.5
37,CCC[NH2+][C@@H]1COC[C@H]1C(=O)NCc1cscc1C,0.0,0.0,0.0019854337314231,4.5919783731363575,0.8057363124882345,283.14747539609,1.0,3.0,2.0,6.0,0.6428571428571429,54.94,-0.91,14.498091472638912,7.028341063443028,3.779036686997781,5.363027980984278,-2.9291902178668083,-6.8,-6.9,-6.8,-6.5,-6.7,-6.7,-6.4,-6.4,-5.4
38,O=C(NCc1nccc2ccccc12)c1ccc[nH]c1=O,0.03,0.0,0.0011582293597592,2.1587800643161543,0.7680248944641384,279.100776656,3.0,3.0,2.0,3.0,0.0625,74.85,-2.9499999999999997,13.052605705188398,5.58224284366153,2.667399472649067,3.4696578470915997,0.8210307327945764,-8.8,-8.9,-9.6,-9.0,-9.3,-9.5,-8.1,-8.3,-8.6
39,CC(=O)c1ccc(S(=O)(=O)N2CCCC[C@H]2C)cc1,0.0,0.0,6.7768084128922e-05,2.276808227461629,0.7996663925137543,281.108564468,1.0,3.0,0.0,3.0,0.5,54.45,-1.2000000000000002,14.214214576731552,5.426675637906941,2.8712212477762877,4.05978589239636,1.0971864313934814,-7.5,-6.9,-6.8,-7.7,-7.9,-8.0,-7.3,-6.4,-5.9
40,O=[N+]([O-])c1c(Nc2cccc3ncccc23)ncnc1N1CCN(c2cccc(Cl)c2)CC1,0.11,0.13,0.0025329762061237,2.399710276167351,0.338155149229871,461.13670056000007,4.0,8.0,1.0,5.0,0.1739130434782608,100.32,-3.98,20.896787777244185,8.871447951108804,4.223513322096559,5.6177201548844975,2.48655822318144,-9.6,-7.3,-10.0,-10.2,-10.5,-4.3,-8.4,-6.3,-7.8
41,O=C(CCCO)Nc1ccc(F)cc1F,0.0,0.0,0.0001630770793581,1.7280306797795273,0.8022630421457203,215.075785032,1.0,2.0,2.0,4.0,0.3,49.33,-1.49,11.584019245003702,5.405497424821451,3.630347540892301,4.174492413196643,1.2142015955430976,-6.5,-7.6,-7.0,-6.7,-6.8,-7.0,-6.7,-7.1,-5.6
42,NC(=O)CCOc1ccc(NC(=O)C[C@H]2CCc3ccccc32)cc1,0.02,0.01,0.0004810582308898,2.4591139224806167,0.8140889153233312,338.163042564,2.0,3.0,2.0,7.0,0.3,81.42000000000002,-2.8199999999999994,17.01769988116422,7.834576331413834,4.5946292907079895,5.333058748162929,1.2599027092252577,-9.8,-9.1,-9.5,-8.9,-9.6,-9.3,-8.0,-8.6,-6.6
43,COc1cc(C)ccc1OCC(=O)Nc1nnc(C)s1,0.0,0.01,6.69611870780759e-05,1.9120490371496803,0.9143568115516,293.08341234000005,2.0,6.0,1.0,5.0,0.3076923076923077,73.34,-2.15,14.263145804163823,6.334864697013347,3.672584839593475,4.517754941157573,1.3456786687709594,-7.6,-7.6,-7.3,-6.8,-7.5,-7.8,-6.8,-7.1,-6.5
44,CC(=O)c1c(O)cccc1COc1ccccc1,0.0,0.0,0.0004064435783606,1.810419950878792,0.8374728849440837,242.094294308,2.0,3.0,1.0,4.0,0.1333333333333333,46.53,-2.29,12.174429825362497,5.361092663978125,2.686965999125766,3.6260136902704097,2.1597508352342247,-7.5,-8.5,-7.2,-8.1,-8.6,-8.3,-7.4,-7.0,-6.3
45,CCn1cc(S(=O)(=O)N2CCCCC[C@@H]2c2cc(-c3ccc(F)cc3)no2)cn1,0.01,0.05,0.0010108661192274,3.0015702167223264,0.6254906868242681,418.1474898160001,3.0,6.0,0.0,5.0,0.4,81.23,-2.52,19.78162067422846,8.076871617315621,3.970577608495778,5.509434847178612,-2.18737075359459,-7.9,-7.1,-8.2,-8.8,-6.1,-7.0,-8.9,-8.6,-7.0
46,COC(=O)[C@](NC(=O)c1cccc(Cl)c1)(Nc1ccc(Br)c[nH+]1)C(F)(F)F,0.02,0.01,0.0026239459587122,3.788624607046105,0.5227468859113461,465.9775421360901,2.0,4.0,2.0,5.0,0.1875,81.57,-2.3299999999999987,20.97557756451221,8.134913774788282,4.69238230162512,6.31979684680335,-0.2021968944166475,-8.7,-8.3,-7.5,-8.5,-7.9,-7.9,-7.6,-7.4,-6.4
47,Cc1[nH]c2ccc(C(=O)Nc3cc(C(C)(C)C)nn3-c3ncccn3)cc2c1C,0.09,0.03,0.0023105305361456,2.5228512463075514,0.5472752694000551,388.201159388,4.0,5.0,2.0,3.0,0.2727272727272727,88.49,-3.4799999999999995,18.863512291268744,6.843602705589175,3.5101962112671976,4.451530474256601,2.0973427340215296,-8.4,-7.0,-8.2,-8.9,-6.6,-9.2,-9.0,-8.9,-6.9
48,Cc1noc(C)c1C[C@H](C)C(=O)N[C@@H](C)C1CCCCC1,0.0,0.0,0.0009008519893433,3.166321591158068,0.9025330611488944,292.215078136,1.0,3.0,1.0,5.0,0.7647058823529411,55.13,-1.32,16.05749402332307,7.098769901709627,4.082434947414989,5.428021679507049,0.7988322341050482,-7.2,-6.7,-8.1,-7.5,-8.1,-7.9,-7.4,-6.8,-5.8
49,CCn1cc(C(=O)N[C@H]2CC(=O)N(C)C2)c(C(C)C)n1,0.0,0.02,0.0041754368172265,3.1003880970800277,0.8927022642029626,278.174275944,1.0,4.0,1.0,4.0,0.6428571428571429,67.23,-1.85,14.55684713918562,5.644849654067117,2.8364895576866784,4.108560676896992,-0.9125529205745426,-6.9,-6.1,-6.8,-7.0,-7.2,-7.1,-7.1,-6.5,-5.7
50,COc1cccc(-c2cncc3ccccc23)c1C(=O)N(C(C)C)C(C)C,0.18,0.06,0.0015242304127034,2.3940342695303283,0.6287330925415646,362.199428072,3.0,3.0,0.0,5.0,0.3043478260869565,42.43,-2.8799999999999994,18.89759850284586,7.784886606496964,3.5209518143961938,5.448728202954141,2.8508881371632797,-6.4,-5.4,-7.0,-8.0,-5.2,-6.4,-6.6,-5.0,-5.3
