smiles,GSK3B,JNK3,DRD2,SA,QED,CalcExactMolWt,CalcNumAromaticRings,CalcNumHBA,CalcNumHBD,CalcNumRotatableBonds,CalcFractionCSP3,CalcTPSA,CalcHallKierAlpha,CalcKappa1,CalcKappa2,CalcKappa3,CalcPhi,logP,3pbl_docking,1iep_docking,2rgp_docking,3eml_docking,3ny8_docking,4rlu_docking,4unn_docking,5mo4_docking,7l11_docking
CCOC(=O)[C@H]1CC[C@H](NC(=O)N2CCC(OCc3ccccc3C)CC2)C1,0.01,0.0,0.0014185335161222168,3.019513512736042,0.7584975595133262,388.236207504,1.0,4.0,1.0,6.0,0.6363636363636364,67.87,-2.0799999999999996,20.64905805371056,9.915936370595883,5.472134748788326,7.3126694919048,0.8790147153842556,-8.8,-8.0,-8.7,-8.0,-8.9,-8.5,-7.4,-7.4,-5.6
COc1ccc(C(=O)N/N=C/C=C2\N(C)c3ccccc3C2(C)C)cc1OC,0.0,0.02,0.002024535375078242,2.4004643493963904,0.6351065135127318,379.18959165999996,2.0,5.0,1.0,5.0,0.2727272727272727,63.16,-3.2799999999999994,19.48071659077055,7.760913788260013,3.452277941857786,5.39957721408917,1.8402625802419368,-8.7,-7.4,-6.1,-8.1,-8.2,-8.6,-6.3,-7.0,-5.4
O=S(=O)([N-]c1cccc(Cl)c1F)c1ccc(Cl)c(Cl)c1,0.01,0.01,0.0060741682973872585,3.132518359494002,0.7630133683822871,351.91743427191,2.0,2.0,0.0,3.0,0.0,48.24,-1.0099999999999998,15.380190092545025,5.773843252852653,3.1748385405669586,4.440140339671616,1.972296674849685,-8.0,-7.8,-7.8,-8.1,-8.7,-8.3,-7.7,-7.8,-6.6
Cc1noc(Cl)c1CCC(=O)Nc1ccc2c(c1)nc(C1CC1)n2C,0.0,0.0,0.0023499558895017586,2.525697609803016,0.748484624845701,358.1196535280001,3.0,5.0,1.0,5.0,0.3888888888888889,72.95000000000002,-2.34,16.145946385645004,6.185793064023474,3.1370155798455284,3.9950193265767098,1.8579840305192024,-8.5,-8.7,-9.4,-8.0,-9.5,-9.9,-7.8,-8.2,-6.3
O=C(CSc1nnc([S-])s1)NCCc1c[nH]c2ccccc12,0.03,0.01,0.0013812991666037283,2.7882716744944496,0.5280647672432116,349.02569761591,3.0,6.0,2.0,6.0,0.21428571428571427,70.67,-1.6399999999999997,15.263174913034714,7.0802268431001885,3.7602344291118337,4.912124578645535,0.4305119248264486,-8.2,-7.7,-8.3,-7.9,-8.5,-9.3,-7.6,-7.9,-6.2
Cn1ncnc1CCNC(=O)c1ccc([N+](=O)[O-])cc1,0.03,0.07,0.0004473199653003627,2.1260265096771516,0.638582047616668,275.101839276,2.0,6.0,1.0,5.0,0.25,102.95,-2.77,13.656800957714388,5.914034115624955,3.1620281727023194,4.038339338711123,0.05346545630426891,-7.6,-7.9,-7.7,-7.3,-8.0,-8.3,-7.7,-7.2,-6.1
Cc1cc(CNc2ccc(C(=O)NCC[C@@H]3COc4ccccc4O3)cn2)no1,0.04,0.03,0.00144021330740108,2.9331723363319853,0.6356043172024296,394.164105184,3.0,7.0,2.0,7.0,0.2857142857142857,98.51,-3.5500000000000003,18.796672391053892,8.639140607304812,4.8416034185885,5.599555025370997,0.6567331320297678,-9.5,-9.0,-9.5,-8.3,-9.6,-10.4,-7.1,-8.4,-7.0
CCC(CC)([C@@H](O)Cc1c(Cl)c(C)nn1C)[NH+](C)C,0.03,0.0,0.028375929477644217,4.364570538776686,0.8197425453175039,288.18371658409,1.0,3.0,2.0,6.0,0.7857142857142857,42.49,-0.5800000000000001,16.4742888165038,6.246828101749218,2.9580760266476918,5.416423701856253,-2.4280316654443963,-5.5,-5.6,-5.1,-5.7,-5.5,-5.5,-5.1,-4.8,-4.4
Cc1nc2ccccc2nc1CN(C)Cc1ccc(-n2cccn2)cc1,0.04,0.02,0.01429298878145965,2.263503578532486,0.5535202277497181,343.17969567200004,4.0,5.0,0.0,5.0,0.19047619047619047,46.84,-3.0499999999999994,16.42014601222894,7.056245685479956,3.4798813385487466,4.456330171297745,2.022022312589593,-8.5,-8.8,-8.1,-9.0,-8.8,-9.4,-8.4,-8.4,-6.8
O=C(COc1ccc(F)c(F)c1)Nc1ccccc1C(F)(F)F,0.05,0.01,0.0028336803581788207,1.8592166960507566,0.8601835670128751,331.06316966,2.0,2.0,1.0,4.0,0.13333333333333333,38.33,-2.6399999999999992,16.72576470423207,6.635881143273636,4.41323491645094,4.825660287288928,2.6779951352206357,-8.8,-8.8,-8.9,-8.2,-9.0,-9.4,-8.7,-8.9,-7.1
CC(C)Cc1ccc(-c2[nH]ncc2C=O)cc1,0.02,0.02,0.002310765974198148,2.241314658763633,0.8172144123241307,228.126263132,2.0,2.0,1.0,4.0,0.2857142857142857,45.75,-1.9,11.581462906523667,4.954241313650415,2.6144311748838027,3.3751389414123154,1.5827651586557372,-7.3,-7.6,-7.0,-7.4,-7.8,-7.8,-7.7,-8.1,-5.4
CCCC#C[C@](C)(O)C[NH2+][C@H](C)C(=O)[O-],0.04,0.0,0.0032302258592916857,5.283073791019307,0.5312828924859442,213.136493468,0.0,3.0,2.0,5.0,0.7272727272727273,76.97,-1.05,13.949999999999998,6.436743066976444,6.947293095155535,5.986171052288091,-5.444422219030487,-5.7,-6.1,-5.9,-5.8,-6.3,-5.9,-5.8,-5.3,-4.6
CC[C@@H](Nc1nnnn1-c1ccccc1)C(=O)NC[C@@H]1CCCO1,0.03,0.0,0.000958467514755848,3.1059154204150454,0.790758361714336,330.1804239439999,2.0,7.0,2.0,7.0,0.5,93.96000000000001,-2.4799999999999995,16.380318617242818,7.869815764384549,3.8837126384294676,5.371253736650803,-0.8068665299770446,-8.1,-8.6,-8.6,-7.7,-8.6,-8.9,-8.6,-7.6,-6.5
O[C@H](CSc1nnc(-c2c[nH]c3ccccc23)n1C1CC1)CN1CCOCC1,0.12,0.04,0.03331523848061205,3.0375061127677636,0.5946594697400331,399.17289604,3.0,7.0,2.0,7.0,0.5,79.2,-1.8699999999999999,18.1771639159835,7.86589629140872,3.692264710447609,5.106417365537965,0.25022968732710643,-8.7,-9.7,-8.8,-8.6,-8.5,-8.4,-7.0,-8.4,-6.2
Cc1ccc(C)c(NC(=O)[C@H](c2ccccc2)N2CCN(C(=O)C3CC3)CC2)c1,0.01,0.0,0.003754073972327913,2.480651482121635,0.8482555827314773,391.225977168,2.0,3.0,1.0,5.0,0.4166666666666667,52.650000000000006,-2.6599999999999997,19.647566740966568,8.3742524882918,4.507440518507073,5.673575333428224,1.6091808194730768,-8.2,-8.7,-9.5,-8.9,-5.3,-8.6,-8.4,-8.5,-7.4
O=C(Nc1ccccc1)c1cccc(CN2CCOC[C@H]2C2CC2)c1,0.01,0.01,0.004453687224900171,2.4808251184764014,0.9077666548360851,336.183778008,2.0,3.0,1.0,5.0,0.38095238095238093,41.57000000000001,-2.1699999999999995,16.30664327149328,7.3780001423910155,4.086951176993939,4.812416655159876,1.6175200808979968,-9.4,-7.7,-9.2,-10.2,-9.6,-9.9,-8.5,-9.4,-6.7
CC[C@H](CSC)N(C)c1cc[nH+]cc1Cl,0.01,0.01,0.008050741482281408,4.760589285408079,0.7938663292134955,245.08737367608998,1.0,2.0,0.0,5.0,0.5454545454545454,17.380000000000003,-0.4100000000000001,12.658540095956134,6.233215434790723,3.2804275221698354,5.260227167202067,-1.6877458549357234,-4.8,-4.6,-4.7,-5.7,-5.7,-5.4,-5.0,-4.1,-4.2
Cc1nc(C(=O)Nc2ccc(C(=O)N3CCCC[C@H]3C)cc2)ccc1C#N,0.03,0.0,0.000494167193204102,2.6347464416642623,0.9048694494848523,362.174275944,2.0,4.0,1.0,3.0,0.3333333333333333,86.09,-3.1999999999999993,18.58691184424013,8.00114603024575,4.142112335393713,5.5080220710025785,1.4181452548978246,-9.5,-8.3,-8.4,-8.2,-9.6,-8.5,-7.3,-7.5,-6.2
N#Cc1ccc(CS(=O)(=O)c2ccc(O)cc2)cc1,0.0,0.0,0.0025233216189884246,1.9075995966449817,0.9297975195841942,273.045964212,2.0,4.0,1.0,3.0,0.07142857142857142,78.16,-2.3199999999999994,13.119692061997092,5.123988315330791,3.117507755541919,3.538165727705854,1.3905754910801138,-7.6,-7.3,-7.3,-7.6,-8.1,-7.8,-8.1,-7.3,-6.0
O=C(CSc1nc(-c2cccs2)n[nH]1)Nc1ccccc1Oc1ccccc1,0.06,0.0,0.0012817457559090133,2.2877993889629398,0.41808893120539564,408.07146775199993,4.0,6.0,2.0,7.0,0.05,79.9,-3.099999999999999,18.272027594712302,8.725502467958316,4.59310098234785,5.694022209723738,2.899488882096839,-9.9,-8.4,-9.3,-9.2,-8.7,-10.5,-8.4,-8.4,-7.0
C[C@@H]1CCC[C@@H]1NC(=O)C1(c2ccc(F)cc2F)CCOCC1,0.0,0.0,0.011768755537278412,3.2014283741833065,0.9265678108210159,323.169685416,1.0,2.0,1.0,3.0,0.6111111111111112,38.33,-1.49,16.370670708374817,6.555265416791325,3.1132101451705596,4.665830067142965,0.591311651425412,-8.1,-6.3,-7.0,-9.0,-8.2,-7.9,-8.8,-7.4,-6.5
CCCC[C@H](CC)CN1C(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C1=O,0.02,0.0,0.0030495140990433067,4.438837615644366,0.5517734735747961,275.18852904,0.0,2.0,0.0,6.0,0.7647058823529411,37.38,-1.12,13.84446029858634,5.342663427206099,2.0222117057575613,3.698314585333203,-1.1079111706902847,-7.2,-6.5,-7.2,-7.3,-7.6,-6.9,-6.8,-6.4,-5.6
N#Cc1cc(NC(=O)c2c(Cl)ccc(Cl)c2Cl)ccc1F,0.02,0.01,0.002311833192244065,2.1276363329827763,0.7876742333126392,341.952974072,2.0,2.0,1.0,2.0,0.0,52.89,-1.7999999999999992,15.586236643466329,6.314843310189529,3.273216194731503,4.68688772376306,2.989558441248109,-8.5,-7.8,-8.5,-8.1,-8.6,-8.8,-8.4,-7.6,-6.3
CC1(C)CCC[C@@H]([NH+]2CCCCCCC2)[C@@H]1[NH3+],0.01,0.0,0.004392392013459699,5.255354665298551,0.6860271371280862,240.25545186417997,0.0,0.0,2.0,1.0,1.0,32.08,-0.08,13.35397241709184,5.7066946298782115,3.226580935820689,4.482767216479987,-10.464135745864064,-6.5,-6.5,-6.1,-6.8,-6.3,-6.9,-6.1,-5.3,-5.1
Cc1nnc(-c2ccc(C(=O)N(C)C[C@@H](C)c3ccccc3)cc2)o1,0.01,0.01,0.00016594571623324895,2.5703655747016345,0.7088865817580184,335.163376912,3.0,4.0,0.0,5.0,0.25,59.230000000000004,-2.9499999999999993,16.89206067574051,7.298718628776461,3.936862390663794,4.931615917297982,1.7687679927741218,-8.4,-8.7,-9.0,-8.5,-9.1,-8.9,-7.3,-7.8,-6.3
CN(C)c1nc(-c2ccccc2)c(CN2CCO[C@H](c3ccsc3)C2)s1,0.1,0.01,0.009682595085610401,3.0779084713141938,0.6459893641647088,385.128254356,3.0,6.0,0.0,5.0,0.35,28.600000000000005,-1.7299999999999998,17.672267106065206,7.879885245244599,3.832909472140229,5.3559783391963345,1.5714618466262138,-5.9,-4.1,-7.7,-7.6,-6.0,-8.1,-8.2,-6.9,-6.7
C#C[C@@](C)(CC)NC(=O)c1cc2c(n(-c3ccc(Cl)cc3)c1=O)CCCC2=O,0.01,0.02,0.0036760581572786053,3.176257468728876,0.8034884170908023,396.124070212,2.0,4.0,1.0,4.0,0.3181818181818182,68.17,-2.8399999999999994,19.908794575753564,7.649328426080968,3.6059846105145246,5.4388895813327975,0.7775415960465961,-7.3,-7.5,-8.7,-9.7,-4.8,-8.9,-7.5,-7.0,-6.4
CC[NH2+][C@@H]1CC[C@H](C)C[C@@H]1[S@@](=O)c1cccc(F)c1,0.02,0.03,0.0007208001924303814,4.712979544593548,0.9021040302464925,284.14788999609,1.0,1.0,1.0,4.0,0.6,33.68,-0.7400000000000001,14.664585445491493,6.617476845581332,3.6333343843527333,5.107502875557313,-2.089449294320678,-6.8,-6.1,-6.6,-6.7,-6.5,-7.6,-7.0,-6.9,-5.6
CC[NH+](C[C@H]1CCOC1)C[C@H](O)c1ccc(C)cc1C,0.02,0.02,0.004979855403069353,4.366852431735649,0.8217702365227644,278.21145555609,1.0,2.0,2.0,6.0,0.6470588235294118,33.900000000000006,-0.9,15.488109205217695,7.206629811685572,4.0456832266956315,5.580853476248178,-2.228918192255009,-7.4,-5.9,-7.2,-6.8,-7.4,-7.4,-6.7,-7.0,-5.9
Cn1cccc1C1=C(C#N)[C@@H](c2c(Cl)cccc2Cl)C(C#N)=C(N)O1,0.07,0.0,0.0022426954872824256,3.411673370641152,0.861893331143564,370.038816364,2.0,5.0,1.0,2.0,0.1111111111111111,87.76,-2.86,16.97903685282414,6.565194832002093,2.742494401633849,4.458827399941365,0.8666119330661268,-6.7,-3.7,-6.5,-6.6,-5.1,-4.6,-6.9,-4.8,-5.3
C[C@@H]([NH2+]CCC1=CCOCC1)c1ccc(F)cc1Br,0.0,0.0,0.004617502567658268,4.169887911879773,0.8260690959502907,328.07068100008996,1.0,1.0,1.0,5.0,0.4666666666666667,25.84,-0.71,14.693972974229522,7.173638758374387,4.405664456746443,5.5478554759178245,-0.8274242127719145,-7.5,-7.3,-7.8,-7.3,-8.1,-7.7,-7.3,-7.4,-5.8
CCNc1ncc(CSc2nccn2C)s1,0.02,0.0,0.013982020380276449,2.670427070666058,0.8329047735516381,254.06598844799998,2.0,6.0,1.0,5.0,0.4,42.74,-1.01,11.47466814585883,5.358104006513232,2.7646168984104795,3.842654085358497,0.7284133433299149,-5.4,-5.2,-5.7,-5.8,-5.9,-6.2,-5.0,-6.0,-5.2
COc1ccc([C@H]2C[C@H](C)N(C(=O)C=C(C)C)C2)cc1,0.0,0.01,0.0003870779746260748,3.050830259968313,0.7902601295289565,273.172878976,1.0,2.0,0.0,3.0,0.47058823529411764,29.54,-1.77,14.635199775333708,6.121065607387673,3.212954151211466,4.479150900102148,0.8054539973140533,-7.5,-6.7,-7.0,-7.4,-7.7,-8.2,-7.5,-7.4,-5.8
CCOc1ccc(NC(=O)N[C@H](C)c2cc(OC)c(OC)cc2C)cc1,0.0,0.0,0.00044395776319440967,2.3390248680753274,0.7744606470271924,358.189257312,2.0,4.0,2.0,7.0,0.35,68.82000000000001,-2.8899999999999997,19.434931303900395,8.987664404667418,4.814396910061463,6.71825539566239,2.30629746371475,-6.6,-7.0,-7.5,-6.4,-8.2,-7.8,-6.2,-7.4,-5.3
C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1Cc1ccccc1,0.0,0.0,0.000707366427831156,2.816283501341486,0.8044253109982497,258.136827816,1.0,2.0,0.0,2.0,0.4666666666666667,40.620000000000005,-1.8399999999999994,12.207001189848372,4.683542419938017,2.009002396787352,3.0090530469941417,-0.2779071868253908,-7.0,-7.3,-7.4,-8.1,-7.7,-7.3,-7.9,-6.3,-6.1
C[C@H]1CCN(C(=O)NCCN2CCN(C(=O)C3CCCC3)CC2)C[C@H]1O,0.01,0.03,0.0051780940810906605,3.046367858784441,0.7692346042218774,366.26309094799996,0.0,4.0,2.0,4.0,0.8947368421052632,76.12,-1.34,19.422371763233382,9.039608671595998,4.883006936206122,6.752716931303297,-1.0246906250789292,-8.9,-8.6,-8.5,-7.8,-8.1,-7.7,-7.9,-9.0,-6.8
Cc1ccc(NC(=O)CNc2cccc(C(=O)NC3CCCCC3)c2)cc1,0.0,0.01,0.001023807295094912,1.8317301038498552,0.7214520036774178,365.210327104,2.0,3.0,3.0,6.0,0.36363636363636365,70.23,-2.8199999999999994,18.9558767094587,9.213928652805146,5.844564991734267,6.468818353789749,2.7855851566357615,-8.9,-9.4,-8.8,-9.5,-9.5,-10.2,-7.8,-8.8,-7.1
Cc1cc(OCC(=O)Nc2ccc3c(c2)OCCCO3)ccc1C(C)C,0.01,0.01,0.0027418002867370343,2.076746537280709,0.868830150389268,355.17835828,2.0,4.0,1.0,5.0,0.38095238095238093,56.790000000000006,-2.6899999999999995,18.11161274787655,8.125891788561097,4.477130943480468,5.660500204060328,-0.8727735962565375,-8.8,-9.9,-8.4,-8.7,-9.2,-9.3,-7.4,-8.1,-6.4
Cc1nnc(NC(=O)N2CCC([NH3+])CC2)s1,0.0,0.0,0.0009127124569812312,3.1241853984252552,0.7312236925982465,242.10700755208998,1.0,4.0,2.0,1.0,0.6666666666666666,85.76,-1.2100000000000002,11.280606403472428,4.7510641525631305,2.6729785298713424,3.349680293919497,-1.5700962572483759,-6.6,-5.7,-6.7,-5.9,-6.8,-7.5,-5.6,-6.4,-5.8
COc1ccc(CNC(=O)Nc2c(C)ccc([N+](=O)[O-])c2C)cc1OC,0.01,0.07,0.00011232575369894197,2.1051939531689694,0.6063644954627724,359.14812077199997,2.0,5.0,2.0,6.0,0.2777777777777778,102.73,-3.29,19.040295015281124,8.19412370647753,4.211062958316867,6.0007127985785,2.0687617940042293,-8.2,-6.4,-7.5,-7.7,-8.6,-8.8,-6.8,-7.0,-6.3
O=C(NCCc1cccc(F)c1)N1CCC[C@H]1c1nc2ccccc2[nH]1,0.05,0.01,0.0043351754820412924,2.5871770947959742,0.7503654654741081,352.16993951200004,3.0,2.0,2.0,4.0,0.3,61.02,-2.89,16.571571194901928,7.154566101304278,3.39987984566064,4.560092366015222,1.6582983503998119,-7.7,-7.3,-8.8,-10.1,-7.5,-10.2,-9.5,-8.5,-7.8
CC[C@@H]1CCCC[C@H]1[C@H](O)[C@@H]1C[NH+]2CCN1CC2,0.0,0.0,0.011680632848793395,6.005537938530551,0.7491220361646659,253.22743996808998,0.0,2.0,2.0,3.0,1.0,27.910000000000004,-0.12,12.8907931289953,5.476308425739333,2.3259686023472024,3.92188661259887,-4.9839392338428965,-7.0,-6.5,-7.1,-6.6,-6.7,-6.8,-6.7,-5.7,-5.2
Cc1ccccc1-n1c([S-])nnc1[C@H](C)Cn1nc(C)c(Br)c1C,0.0,0.0,0.0012759000277239483,3.5740561546296563,0.6188770379890622,404.05500228791,3.0,6.0,0.0,4.0,0.35294117647058826,48.53,-1.7299999999999995,17.104707195472443,6.643238985341762,2.9785123662241793,4.7346107364090955,0.5230155476697202,-7.9,-6.8,-6.3,-8.0,-7.6,-7.6,-7.0,-5.6,-5.9
CC(=O)N1CC[C@H]([NH2+][C@@H](Cc2ccccn2)C2CC2)C1,0.02,0.01,0.014398454945270884,4.099162229051862,0.8540242844148259,274.19138880809,1.0,2.0,1.0,5.0,0.625,49.81,-1.4200000000000002,13.557908864503734,5.91648100111604,3.3656539065330264,4.010755510584954,-2.3896893987766625,-7.4,-7.1,-7.2,-7.4,-7.6,-8.3,-6.9,-6.3,-5.8
COc1ccc(-c2ccc(CO)o2)cc1NC(=O)c1ccc2ccccc2c1,0.03,0.03,0.0011181213708058818,2.014547715602834,0.5243681586659609,373.131408088,4.0,4.0,2.0,5.0,0.08695652173913043,71.7,-3.5699999999999994,17.824461944625828,7.581886549189506,3.4769380042002616,4.826537438017814,3.085577975477164,-8.8,-7.7,-9.7,-9.8,-9.2,-10.1,-8.9,-9.9,-7.0
COC(=O)C1=C(C)N(c2cccc(Cl)c2)C(=O)/C1=C\c1c(F)cccc1Cl,0.0,0.04,0.0011868660027288215,2.4047324067444666,0.5319844026680043,405.033476888,2.0,3.0,0.0,3.0,0.1,46.61,-2.6299999999999986,19.140474256478754,7.545010543569474,3.481117717971233,5.348706669409345,2.72671164002915,-5.9,-5.6,-7.8,-9.3,-5.7,-8.9,-7.2,-6.7,-7.6
CCC(=O)N1CSC[C@H]1C(=O)Oc1cccc(Br)c1,0.0,0.0,7.434185750684796e-05,2.908485541294384,0.6248283331918626,342.987776408,1.0,4.0,0.0,3.0,0.38461538461538464,46.61,-1.0099999999999998,14.400182349791374,6.430988713064975,3.507777301415248,4.874074218820305,0.48833405551821785,-7.2,-7.8,-6.8,-7.1,-7.4,-7.0,-6.5,-7.3,-5.6
